Customer,"UCSB"
Date Range,10/01/2021 - 10/31/2021
Hour Range,0 - 24
Days of the Week,"Mon - Sun"
Time Interval, 1h

Location,Timestamp,Average Occupancy,Peak Occupancy,Time Interval,Location Path
UCSB Library,10/01/2021 00:00,149,212,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 01:00,49,103,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 02:00,16,21,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 03:00,15,20,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 04:00,16,20,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 05:00,14,19,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 06:00,14,17,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 07:00,23,48,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 08:00,103,487,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 09:00,639,868,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 10:00,977,1081,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 11:00,1143,1200,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 12:00,1129,1166,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 13:00,1184,1334,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 14:00,1259,1320,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 15:00,1172,1267,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 16:00,892,1045,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 17:00,690,826,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 18:00,393,565,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 19:00,185,275,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 20:00,143,174,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 21:00,115,154,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 22:00,40,57,1hour,UCSB > UCSB Library
UCSB Library,10/01/2021 23:00,14,25,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 00:00,7,11,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 01:00,5,9,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 02:00,3,5,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 03:00,3,4,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 04:00,4,5,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 05:00,4,5,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 06:00,4,4,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 07:00,3,5,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 08:00,5,6,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 09:00,9,22,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 10:00,45,73,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 11:00,103,126,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 12:00,174,276,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 13:00,349,415,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 14:00,477,544,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 15:00,535,610,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 16:00,538,594,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 17:00,387,476,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 18:00,251,313,1hour,UCSB > UCSB Library
UCSB Library,10/02/2021 19:00,137,181,1hour,UCSB > UCSB Library
