Customer,"UCSB"
Date Range,11/01/2021 - 11/30/2021
Hour Range,0 - 24
Days of the Week,"Mon - Sun"
Time Interval, 1h

Location,Timestamp,Average Occupancy,Peak Occupancy,Time Interval,Location Path
UCSB Library,11/01/2021 00:00,319,383,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 01:00,201,230,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 02:00,123,179,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 03:00,53,101,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 04:00,20,28,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 05:00,15,16,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 06:00,11,16,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 07:00,17,32,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 08:00,153,431,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 09:00,643,846,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 10:00,1074,1153,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 11:00,1346,1402,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 12:00,1414,1464,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 13:00,1598,1705,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 14:00,1841,1994,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 15:00,1801,2021,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 16:00,1504,1828,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 17:00,1298,1419,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 18:00,1052,1162,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 19:00,958,1127,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 20:00,1129,1193,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 21:00,1335,1419,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 22:00,1234,1443,1hour,UCSB > UCSB Library
UCSB Library,11/01/2021 23:00,800,1011,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 00:00,381,602,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 01:00,190,255,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 02:00,78,131,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 03:00,22,31,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 04:00,18,20,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 05:00,13,16,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 06:00,15,18,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 07:00,18,34,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 08:00,118,302,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 09:00,658,852,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 10:00,1020,1166,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 11:00,1296,1380,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 12:00,1463,1560,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 13:00,1729,1877,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 14:00,1803,2064,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 15:00,1749,2096,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 16:00,1844,2160,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 17:00,1461,1574,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 18:00,1435,1550,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 19:00,1281,1373,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 20:00,1371,1506,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 21:00,1242,1557,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 22:00,1124,1255,1hour,UCSB > UCSB Library
UCSB Library,11/02/2021 23:00,787,1036,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 00:00,455,645,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 01:00,273,368,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 02:00,143,214,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 03:00,81,114,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 04:00,42,84,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 05:00,25,31,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 06:00,14,21,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 07:00,22,60,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 08:00,157,450,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 09:00,686,908,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 10:00,1146,1319,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 11:00,1397,1629,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 12:00,1392,1620,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 13:00,1763,1877,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 14:00,1942,2051,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 15:00,2049,2215,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 16:00,2122,2263,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 17:00,1696,2035,1hour,UCSB > UCSB Library
UCSB Library,11/03/2021 18:00,1301,1543,1hour,UCSB > UCSB Library
