Customer,"UCSB"
Date Range,05/01/2022 - 05/31/2022
Hour Range,0 - 24
Days of the Week,"Mon - Sun"
Time Interval, 1h

Location,Timestamp,Average Occupancy,Peak Occupancy,Time Interval,Location Path
UCSB Library,05/06/2022 12:00,928,1102,1hour,UCSB > UCSB Library
UCSB Library,05/06/2022 13:00,1052,1271,1hour,UCSB > UCSB Library
UCSB Library,05/06/2022 14:00,1217,1417,1hour,UCSB > UCSB Library
UCSB Library,05/06/2022 15:00,1228,1372,1hour,UCSB > UCSB Library
UCSB Library,05/06/2022 16:00,1136,1256,1hour,UCSB > UCSB Library
UCSB Library,05/06/2022 17:00,855,1019,1hour,UCSB > UCSB Library
UCSB Library,05/06/2022 18:00,703,892,1hour,UCSB > UCSB Library
UCSB Library,05/06/2022 19:00,594,652,1hour,UCSB > UCSB Library
UCSB Library,05/06/2022 20:00,554,616,1hour,UCSB > UCSB Library
UCSB Library,05/06/2022 21:00,419,513,1hour,UCSB > UCSB Library
UCSB Library,05/06/2022 22:00,400,423,1hour,UCSB > UCSB Library
UCSB Library,05/06/2022 23:00,321,396,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 00:00,175,239,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 01:00,104,139,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 02:00,59,73,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 03:00,60,72,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 04:00,66,75,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 05:00,58,68,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 06:00,63,70,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 07:00,49,63,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 08:00,50,66,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 09:00,70,101,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 10:00,162,199,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 11:00,296,340,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 12:00,429,523,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 13:00,642,943,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 14:00,919,1135,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 15:00,840,1003,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 16:00,884,930,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 17:00,828,938,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 18:00,607,715,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 19:00,487,587,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 20:00,449,527,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 21:00,496,551,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 22:00,441,494,1hour,UCSB > UCSB Library
UCSB Library,05/07/2022 23:00,294,414,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 00:00,159,231,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 01:00,90,124,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 02:00,66,75,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 03:00,52,68,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 04:00,47,65,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 05:00,56,65,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 06:00,49,71,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 07:00,51,68,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 08:00,59,73,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 09:00,88,125,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 10:00,213,258,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 11:00,454,566,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 12:00,698,823,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 13:00,1171,1516,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 14:00,1626,1910,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 15:00,1752,2138,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 16:00,1642,1959,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 17:00,1696,2063,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 18:00,1298,1538,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 19:00,1086,1226,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 20:00,1197,1385,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 21:00,987,1305,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 22:00,862,1127,1hour,UCSB > UCSB Library
UCSB Library,05/08/2022 23:00,656,841,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 00:00,321,561,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 01:00,248,287,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 02:00,186,225,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 03:00,85,108,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 04:00,67,74,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 05:00,67,73,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 06:00,63,70,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 07:00,80,159,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 08:00,241,416,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 09:00,634,862,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 10:00,1070,1305,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 11:00,1624,1890,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 12:00,1740,1873,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 13:00,2031,2209,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 14:00,2477,2859,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 15:00,2826,3343,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 16:00,2486,2955,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 17:00,1904,2114,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 18:00,1764,1828,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 19:00,1636,1760,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 20:00,1610,1760,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 21:00,1546,1645,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 22:00,1309,1387,1hour,UCSB > UCSB Library
UCSB Library,05/09/2022 23:00,1050,1304,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 00:00,602,848,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 01:00,395,495,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 02:00,242,275,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 03:00,169,221,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 04:00,91,138,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 05:00,66,86,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 06:00,63,80,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 07:00,76,119,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 08:00,222,364,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 09:00,745,1049,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 10:00,1248,1534,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 11:00,1754,2001,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 12:00,1941,2062,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 13:00,2295,2535,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 14:00,2651,2802,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 15:00,2821,2996,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 16:00,2592,2796,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 17:00,2164,2306,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 18:00,1862,2085,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 19:00,1551,1713,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 20:00,1809,2166,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 21:00,2109,2292,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 22:00,1887,2014,1hour,UCSB > UCSB Library
UCSB Library,05/10/2022 23:00,1481,1787,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 00:00,999,1231,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 01:00,523,764,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 02:00,329,395,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 03:00,214,273,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 04:00,116,164,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 05:00,99,105,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 06:00,92,108,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 07:00,138,289,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 08:00,435,617,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 09:00,740,1035,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 10:00,1359,1660,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 11:00,1677,1857,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 12:00,2032,2373,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 13:00,2589,2722,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 14:00,2798,3011,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 15:00,2936,3156,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 16:00,2720,2955,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 17:00,2100,2465,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 18:00,1704,2029,1hour,UCSB > UCSB Library
UCSB Library,05/11/2022 19:00,1304,1543,1hour,UCSB > UCSB Library
