Customer,"UCSB"
Date Range,07/01/2022 - 07/31/2022
Hour Range,0 - 24
Days of the Week,"Mon - Sun"
Time Interval, 1h

Location,Timestamp,Average Occupancy,Peak Occupancy,Time Interval,Location Path
UCSB Library,07/08/2022 15:00,647,747,1hour,UCSB > UCSB Library
UCSB Library,07/08/2022 16:00,573,677,1hour,UCSB > UCSB Library
UCSB Library,07/08/2022 17:00,445,542,1hour,UCSB > UCSB Library
UCSB Library,07/08/2022 18:00,352,394,1hour,UCSB > UCSB Library
UCSB Library,07/08/2022 19:00,320,400,1hour,UCSB > UCSB Library
UCSB Library,07/08/2022 20:00,278,309,1hour,UCSB > UCSB Library
UCSB Library,07/08/2022 21:00,254,273,1hour,UCSB > UCSB Library
UCSB Library,07/08/2022 22:00,164,270,1hour,UCSB > UCSB Library
UCSB Library,07/08/2022 23:00,137,158,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 00:00,130,142,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 01:00,114,139,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 02:00,118,125,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 03:00,116,123,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 04:00,125,138,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 05:00,129,137,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 06:00,126,142,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 07:00,129,147,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 08:00,127,147,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 09:00,122,132,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 10:00,138,147,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 11:00,151,176,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 12:00,215,272,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 13:00,321,354,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 14:00,408,423,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 15:00,431,455,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 16:00,435,466,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 17:00,410,452,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 18:00,327,370,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 19:00,294,319,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 20:00,290,304,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 21:00,282,312,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 22:00,180,277,1hour,UCSB > UCSB Library
UCSB Library,07/09/2022 23:00,128,171,1hour,UCSB > UCSB Library
UCSB Library,07/10/2022 00:00,111,138,1hour,UCSB > UCSB Library
UCSB Library,07/10/2022 01:00,129,143,1hour,UCSB > UCSB Library
UCSB Library,07/10/2022 02:00,141,151,1hour,UCSB > UCSB Library
UCSB Library,07/10/2022 03:00,141,196,1hour,UCSB > UCSB Library
UCSB Library,07/10/2022 04:00,138,198,1hour,UCSB > UCSB Library
UCSB Library,07/10/2022 05:00,125,195,1hour,UCSB > UCSB Library
UCSB Library,07/10/2022 06:00,135,189,1hour,UCSB > UCSB Library
UCSB Library,07/10/2022 07:00,164,195,1hour,UCSB > UCSB Library
UCSB Library,07/10/2022 08:00,140,207,1hour,UCSB > UCSB Library
UCSB Library,07/10/2022 09:00,146,207,1hour,UCSB > UCSB Library
UCSB Library,07/10/2022 10:00,135,208,1hour,UCSB > UCSB Library
UCSB Library,07/10/2022 11:00,102,124,1hour,UCSB > UCSB Library
UCSB Library,07/10/2022 12:00,267,386,1hour,UCSB > UCSB Library
UCSB Library,07/10/2022 13:00,414,458,1hour,UCSB > UCSB Library
