Customer,"UCSB"
Date Range,09/01/2022 - 09/30/2022
Hour Range,0 - 24
Days of the Week,"Mon - Sun"
Time Interval, 1h

Location,Timestamp,Average Occupancy,Peak Occupancy,Time Interval,Location Path
UCSB Library,09/01/2022 00:00,80,112,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 01:00,75,92,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 02:00,83,94,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 03:00,83,87,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 04:00,84,92,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 05:00,77,92,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 06:00,73,85,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 07:00,82,91,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 08:00,91,138,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 09:00,187,275,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 10:00,366,493,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 11:00,498,567,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 12:00,534,623,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 13:00,581,738,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 14:00,697,743,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 15:00,702,800,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 16:00,641,706,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 17:00,493,563,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 18:00,355,419,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 19:00,292,332,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 20:00,297,318,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 21:00,309,337,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 22:00,251,305,1hour,UCSB > UCSB Library
UCSB Library,09/01/2022 23:00,152,218,1hour,UCSB > UCSB Library
UCSB Library,09/02/2022 00:00,89,139,1hour,UCSB > UCSB Library
UCSB Library,09/02/2022 01:00,84,96,1hour,UCSB > UCSB Library
UCSB Library,09/02/2022 02:00,85,102,1hour,UCSB > UCSB Library
UCSB Library,09/02/2022 03:00,75,86,1hour,UCSB > UCSB Library
UCSB Library,09/02/2022 04:00,71,82,1hour,UCSB > UCSB Library
UCSB Library,09/02/2022 05:00,71,85,1hour,UCSB > UCSB Library
UCSB Library,09/02/2022 06:00,75,89,1hour,UCSB > UCSB Library
UCSB Library,09/02/2022 07:00,79,88,1hour,UCSB > UCSB Library
UCSB Library,09/02/2022 08:00,89,115,1hour,UCSB > UCSB Library
UCSB Library,09/02/2022 09:00,115,145,1hour,UCSB > UCSB Library
UCSB Library,09/02/2022 10:00,171,228,1hour,UCSB > UCSB Library
UCSB Library,09/02/2022 11:00,265,327,1hour,UCSB > UCSB Library
